"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"28349","Oedro (US)","0.0903709","79.61","0.02","2022-03-31","amber","exposurelevel2","35.9191","yes","yes","0","0","0","0","30","Retail & Shopping","Automotive","Automotive","84","US","OEDRO is a famous auto parts brand in the American market, specializing in floor mats, bumpers, tonneau covers, running boards, storage box, headlight assembly, led light bars, etc.","https://ui.awin.com/images/upload/merchant/profile/28349.png","https://www.oedro.com/"
"115809","Ravin Crossbows (US)","","0.00","0.00","2025-09-17","amber","exposurelevel2","0","yes","no","0","0","0","0","30","Retail & Shopping","Sports Equipment","Sports Equipment","83","US","Ravin Crossbows delivers apex performance for serious hunters. Known for cutting-edge technology, unmatched precision, and compact power, Ravin is the top choice for those who demand elite gear. Join Ravin Nation and earn 5% commission on high-value order","https://ui.awin.com/images/upload/merchant/profile/115809.png","https://ravincrossbows.com/"
